"","","","","","","","","","",""
"","","Post-Disaster Economic Activity","","LKR","","134.58  Support borrowers (individual group of individuals) in the post disaster recovery efforts of the Businesses/","","","134.58",""
"","","Recovery Loan Scheme (PEARL)","","","","Small Enterprises affected by recent floods, drought to resume the Businesses or income generating","","","",""
"","","","","","","activities.","","","",""
"","","","","LKR","","","","","",""
"","","Provincial Development Credit","","","","2,900.00  Expand the activities of medium and long-term projects in the SME sector .","","","2,900.00",""
"","","Scheme","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","Name of the Project/ Loan 
Scheme","","Total Allocation of the 
Fund (Mn.)","","Objective/s","","","Refinance 
Granted to PFIs 
(Rs. Mn.)",""
"","","","","","","","","","",""
"","","“Saubagya” COVID – 19 Loan 
Scheme - Phase I","","LKR","","30,000.00  Providing working capital facility to businesses affected by the COVID – 19 outbreaks.","","","24,450.10",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","Name of the Project/ Loan 
Scheme","","Total Allocation of the 
Fund (Mn.)","","Objective/s","","","Refinance 
Granted to PFIs 
(Rs. Mn.)",""
"","","Tea Development Project","","USD","","24.50  Increase income generating activities of Tea Small Holders and improve the contribution to the natural","","","2,550.90",""
"","","","","","","","","","",""
"","","","","","","environment.","","","",""
"","","","","","","","","","",""
"","","Second Perennial Crop","","SDR","","11.56  Commercialization of  perennial crops sector , increase production, nursery development, post harvest handling,","","","1,453.11",""
"","","Development Project","","","","","","","",""
"","","","","","","processing and marketing.","","","",""
"","","","","","","","","","",""
"","","Plantation Sector Reform Project","","USD","","40.00  Support policy and institutional reforms in the plantation sub-sectors to increase the productivity and profitability","","","5,200.00",""
"","","","","","","while maintaining competitive advantage of the Plantation Industry.","","","",""
"","","","","","","","","","",""
"","","Small Business Revival Programme","","LKR","","2,656.00   Resumption of Tsunami affected SMEs.","","","2,663.40",""
"","","","","","","","","","",""
"","","Small Business Revival Programme","","LKR","","150.00  Resumption of SMEs affected by Tsunami using recovery of Small Businesses.","","","122.72",""
"","","- Revolving Fund","","","","","","","",""
"","","Skill Development Project","","LKR","","94.31  Improve the quality and reliance of Skill Development obtained by the Training Programmes to high quality","","","94.59",""
"","","","","","","","","","",""
"","","","","","","workforce and address skill mismatching.","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","Urban Environment Infrastructure","","USD","","4.00  Improve Environmental facilities,health and sanitary conditions of the people living in the urban and semi-","","","369.15",""
"","","Development Project","","","","urban areas.","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
